iShares Russell 1000 ETF
Fund Holdings as of,"Feb 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","98,942,021.00","0.21","98,942,021.00","23,767.00","4,163.00","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","97,499,902.50","0.21","97,499,902.50","150,579.00","647.50","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","96,664,191.30","0.21","96,664,191.30","251,710.00","384.03","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","96,315,296.40","0.21","96,315,296.40","459,695.00","209.52","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","94,825,095.31","0.20","94,825,095.31","677,177.00","140.03","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","94,585,817.17","0.20","94,585,817.17","459,623.00","205.79","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","93,751,670.76","0.20","93,751,670.76","221,316.00","423.61","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","93,428,600.20","0.20","93,428,600.20","92,339.00","1,011.80","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","91,515,528.77","0.20","91,515,528.77","570,439.00","160.43","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","91,275,883.90","0.20","91,275,883.90","1,489,003.00","61.30","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","90,662,205.35","0.19","90,662,205.35","187,687.00","483.05","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","90,656,443.55","0.19","90,656,443.55","937,987.00","96.65","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","89,263,970.04","0.19","89,263,970.04","266,826.00","334.54","United States","NYSE","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","88,255,901.76","0.19","88,255,901.76","91,624.00","963.24","United States","NYSE","USD","1.00","USD","-"
